TRANSACTION_ID,CUSTOMER_NUMBER,TRANSACTION_VALUE,TRANSACTION_DATE_TIME,NUMBER_OF_ITEMS
766d8035-e5e1-47c2-99bf-9754bac29b40,EWFU9935,8447283.22,2022-02-08 06:03:19,26
ac777764-d10c-4288-b8e6-0f037ed613ac,SKWR5365,12686894.88,2022-09-29 20:44:00,1
2632ac7e-f4fd-486b-90b3-e6012ece8276,BDKI8050,6487417.65,2022-03-02 19:38:44,17
61ec9870-e978-4c27-a7f2-39fad48adab2,IJLL9794,7442319.6,2022-07-07 23:32:57,13
764b5cd4-6cfc-4921-9b98-dd1b523520c8,KCTR1626,293522.78,2022-04-12 16:14:24,7
6d37c01c-642f-4ce0-9585-f47410705985,CVLV0585,1290703.48,2022-07-13 20:36:22,4
0622b4cc-e0fd-4cc2-915a-577755f9ec58,VERW2833,4734964.8,2022-08-18 21:07:02,5
a346ca23-f13e-4b5c-831c-b9a0a9a21343,YBEU6335,16599336.239999998,2022-04-02 04:25:48,3
bc65e90c-668b-4637-b744-08cc3098aa0f,XCMK6973,14958862.92,2022-12-12 09:36:02,24
6a9cc223-3029-4093-8cd6-486844bb5fa2,QTHR3509,8890798.64,2022-11-03 16:58:22,4
ae5a51d6-b961-46dd-9afe-f2c5aa1ea108,QHVQ7493,1783082.7,2022-10-24 00:41:01,29
5c59b858-9d06-4efc-9f03-9721a336318e,JZEI4654,14237587.299999999,2022-12-12 01:27:53,2
dcc5840c-dcda-43c7-b25f-6d7844b9b2e5,ERGZ9982,6269676.14,2022-04-20 09:35:15,19
fe921cf5-9948-4cb6-8f4f-46db34dfc57b,TUXZ9526,3417182.0900000003,2022-07-12 16:39:38,9
43559f76-ef5b-4968-a183-6b07ebfa2fcd,ZALR3740,4190928.9,2022-04-09 03:14:09,5
7e7c62f0-cc60-4d50-b636-3b7640a6cff6,CVLV0585,289473.62,2022-10-16 08:18:56,7
5b8a2863-3ed9-417d-8db5-5bb255173f33,YVWS9358,11002505.0,2022-01-21 23:44:26,16
a7a4247f-cef0-485a-ab58-bd5893360a6f,CBAP1806,5103891.15,2022-09-27 11:21:15,13
6ecb8f6a-9d70-4398-a050-1fbb9f61134d,ERGZ9982,3805444.52,2022-07-09 00:48:44,29
9f56036a-4f62-49eb-a1b0-41341099d444,VLEJ8248,134445.76,2022-09-21 22:45:19,24
9e68b8d3-1d8c-4b1b-a399-473d3a0725f5,LBIP8114,17119228.0,2022-07-25 03:58:01,28
ef450c07-6a2a-4e03-9b74-e9ac5a7924c4,YBGU3928,1889993.16,2022-12-11 20:00:59,2
7751d3f8-f1f5-467a-8670-a89d5c103ff9,AOIM7723,4910529.279999999,2022-11-24 16:29:05,17
65b4535c-0a8d-4044-a144-0e05b15b3c41,GYZB8221,976888.9600000001,2022-09-03 09:30:33,16
30bbacfd-b952-4a02-aa14-f3e58a032987,MGMV4726,4581843.84,2022-11-07 13:16:35,28
5ea2700d-38ad-4032-b497-d7e8b94971ff,ASIU3553,9746628.209999999,2022-08-16 21:10:37,13
