TRANSACTION_ID,ITEM_EAN,ITEM_DEPARTMENT,ITEM_VALUE,ITEM_QUANTITY
766d8035-e5e1-47c2-99bf-9754bac29b40,0568086215348,facilis,59487.91,142
ac777764-d10c-4288-b8e6-0f037ed613ac,9160353582309,commodi,94678.32,134
2632ac7e-f4fd-486b-90b3-e6012ece8276,4320364312554,repudiandae,61784.93,105
61ec9870-e978-4c27-a7f2-39fad48adab2,8813830341111,ad,56811.6,131
764b5cd4-6cfc-4921-9b98-dd1b523520c8,7440127411519,placeat,4020.86,73
6d37c01c-642f-4ce0-9585-f47410705985,1799037789932,culpa,29334.17,44
0622b4cc-e0fd-4cc2-915a-577755f9ec58,1670492464858,magni,26305.36,180
a346ca23-f13e-4b5c-831c-b9a0a9a21343,1960921059855,labore,91709.04,181
bc65e90c-668b-4637-b744-08cc3098aa0f,1782156562074,veniam,92338.66,162
6a9cc223-3029-4093-8cd6-486844bb5fa2,1538331405809,libero,81566.96,109
ae5a51d6-b961-46dd-9afe-f2c5aa1ea108,1040251836743,quasi,39624.06,45
5c59b858-9d06-4efc-9f03-9721a336318e,9496667399143,veniam,74934.67,190
dcc5840c-dcda-43c7-b25f-6d7844b9b2e5,5394208147540,laudantium,34448.77,182
fe921cf5-9948-4cb6-8f4f-46db34dfc57b,2341146456015,cumque,69738.41,49
43559f76-ef5b-4968-a183-6b07ebfa2fcd,7260312960987,architecto,36442.86,115
7e7c62f0-cc60-4d50-b636-3b7640a6cff6,9259539255172,dolorum,8513.93,34
5b8a2863-3ed9-417d-8db5-5bb255173f33,8249799371324,culpa,74341.25,148
a7a4247f-cef0-485a-ab58-bd5893360a6f,4871199984497,repellat,32928.33,155
6ecb8f6a-9d70-4398-a050-1fbb9f61134d,9279210213444,repudiandae,92815.72,41
9f56036a-4f62-49eb-a1b0-41341099d444,1875979270209,sunt,2168.48,62
9e68b8d3-1d8c-4b1b-a399-473d3a0725f5,8219870527612,est,85596.14,200
ef450c07-6a2a-4e03-9b74-e9ac5a7924c4,8932295829962,nostrum,14318.13,132
7751d3f8-f1f5-467a-8670-a89d5c103ff9,8479411589008,ab,80500.48,61
65b4535c-0a8d-4044-a144-0e05b15b3c41,9529343106565,distinctio,11913.28,82
30bbacfd-b952-4a02-aa14-f3e58a032987,5866136735248,nobis,54545.76,84
5ea2700d-38ad-4032-b497-d7e8b94971ff,4101396282042,ea,98450.79,99
16a7b73f-75f8-4864-a837-3bbe310c752c,6403505821431,ipsa,13682.79,73
c6e020e1-f8ef-4063-8959-3e4d818cb6a4,9154131226615,sapiente,38802.83,50
6408fda3-6079-45f3-937b-8255bc56b45d,8936806847957,earum,94680.36,175
0592bab5-159e-49cd-ac12-8c062ac6a374,2311833131549,laboriosam,54719.43,164
eedaa41e-8eb7-4fd6-a98b-1f1110430e0b,0827003603577,est,54472.82,45
deffeb7a-99f7-4551-903d-3aa45c4fcc8c,1100000743231,qui,14900.78,67
186c3760-4b7c-4aa5-aebc-2fdf17735887,0643981703593,iusto,94210.9,137
e1574f6f-58a7-4aa0-8edf-c0e1080ed647,7513609444388,dolore,65054.94,192
59fecda2-da66-43e3-aca1-73afd4483a5f,5902562794098,ex,14123.58,107
c6beff1d-603d-4c94-9e35-b83ec2186370,3913414177930,omnis,2321.71,93
8ad61126-a1d9-44dc-856e-3465615069e6,1368937973965,aliquam,68103.83,198
5c5407d6-64d6-498b-8f8b-931b7c716cd5,9604796146174,quae,83599.45,174
822c2872-e0d5-45b0-b28e-1d66f7bf2267,3804750170832,earum,25876.77,179
19a880bd-01ef-4b7a-86cc-2216fd122063,4819826376185,quisquam,76764.2,90
3418bedc-7aff-4017-a730-e2ac3d88c8a3,5010279450036,adipisci,51787.52,71
3c555f75-37d9-4072-8c7f-76784d36d463,2171856411260,error,48458.7,26
a04fa003-4a7a-424b-a592-263d2f85bbc7,3321626220410,hic,13353.89,68
7db029fb-f62d-43de-95cc-21230c25f374,3341294777078,soluta,45472.11,33
abba0094-5238-43b2-9cdc-c82e1d29ae85,5368844288844,ea,63160.86,189
312cc929-d212-486d-a849-a70c02d5cdc0,5019561421358,et,12267.15,145
9bd00290-1d71-439c-8e51-ae206c3625c3,0244047791983,sequi,17461.92,171
86732b9b-8f40-4cc4-9ab9-93c476e840f7,7569689356134,fugiat,9639.92,108
af0edb41-7a70-4d5a-9772-20f46f72b065,3701185658952,quisquam,72174.42,161
f437b115-2e98-4d27-890b-ec68a2459b14,5842653511411,ipsa,19586.91,139
7b864899-a5f6-4359-a5e1-78e268085f1e,8995164224503,tempore,61422.51,166
3982286e-8575-4478-aec7-f45da3026a13,0465838922281,animi,12.14,27
54cfd249-1717-4e25-b094-45a46556ea7d,5018673574785,omnis,83229.77,36
4bb87937-35d9-4cd4-8c17-76fc74a28416,9162251747002,molestias,64318.65,125
b91916fc-9b3f-418d-b1c3-c28e987ecb83,8082795112177,necessitatibus,37353.85,165
85db28fa-2798-41f1-abca-dfe4288e8765,8202458684609,repellat,57992.51,152
aa5e0406-051e-418a-9b65-4fdaf56fb0d8,0550743196848,quis,27712.18,119
30a2bd79-0b6a-4fdb-a0d0-15f898c142e9,5520701256698,quas,60131.64,28
f50b13ab-9e76-4c30-896c-baacdf50518a,9750951989459,delectus,79461.32,18
7acdf337-b795-49a4-91d9-1e162888ae9c,1491795339069,ratione,9138.61,91
1e5edfe6-1456-4853-aff5-9873e555bb5e,1980487068092,sequi,84650.64,23
93411e97-6cd7-4abb-9cc0-41c1894de912,7560010269765,eligendi,1993.07,159
9949e94d-f6ce-47ed-a643-4eba30dce6cd,8733942679523,fugit,13985.35,178
3ef453fb-669b-482f-8780-c648ed88c931,7515229808908,recusandae,35105.76,157
6babee55-c9c9-4cbd-868c-215b82cf34bd,4896186653644,ea,60944.64,45
25116c3c-9954-416e-9240-43fb49b5413a,9296792592521,inventore,95055.13,14
e959e252-be45-4778-ac25-30fbd9df9241,8862858469826,deserunt,89229.16,194
52767448-7802-40af-b1ba-676445f92440,8498053843101,aspernatur,77386.09,112
f76f1a39-f605-4bbc-9528-c81bd63ae64e,2173344152976,dolores,36155.26,108
30207a84-fc85-431b-bff1-2b67a89fbba0,4767958467823,alias,39755.82,198
8b9045a4-d545-4ff0-a015-a952e64b5b97,2227353962764,voluptas,73046.41,8
9b985e9b-bd1a-4602-9ec2-2d87f7fc5890,2318377933479,nulla,56767.83,19
2eb4bee6-1d69-4825-b74e-0b5b86bd6698,4231931110759,ipsum,36766.51,88
56ec5404-9a73-4f19-a617-2c5eccb9dfcd,5400016528287,quod,6735.95,78
ef5807b3-c668-439f-893b-81a05071e7d3,6514474935989,non,39125.78,49
d7131ee8-714d-43bd-aa29-9bbb3f1b496f,2352129479846,tenetur,21810.37,163
001f2cf9-abde-4af7-bb23-3ea0382d6f8c,2088236004366,sint,608.4,95
7bbe91a9-f06d-459a-8d46-0dab99d8f473,2273973872235,animi,73881.07,53
1af596c3-1269-4402-b00c-14c0d8468417,1976965010547,praesentium,58257.34,136
b8a2658f-c885-402b-95f8-b3624d25d060,2672463314499,maiores,98293.63,108
66411b4c-be0a-4d6d-b2ee-fb0c694c50af,5293161492974,necessitatibus,97141.39,146
22230212-d70e-4411-9844-15891f5a3e18,6451691756419,adipisci,4478.21,76
38bee17f-de7f-4f49-b988-5757405c2b57,8107937353253,perspiciatis,37309.32,84
545e90b5-849c-49c4-9fc1-38193df51390,4914224522216,sint,20694.5,191
6af30482-14d1-491c-8c45-592faab57e74,3907823086518,unde,92812.05,127
3ef7e211-ff18-4e0c-9625-55de7979dbbf,8582924850111,neque,19258.87,159
ab922eb5-8145-4b34-9625-a26a8fb2dd73,7484781795554,modi,90796.8,91
6b9a03e1-84a6-4131-905b-9404dc657780,7472225795703,dolores,32034.84,86
7a28d433-9296-483a-9db2-9727c2a69cbf,5289142444254,dicta,46232.24,80
94f156c1-c07e-4c3f-97a0-c3d7aa936ba7,2238672062721,accusamus,40746.97,40
0d6691ce-ef24-4573-9c1e-54065f1b3c95,6348596307252,maiores,63613.58,118
04cc3611-d91a-41cb-afc7-6ec4b7ebf0c6,7697402932294,perspiciatis,39223.93,66
d676ab18-22f3-4c14-b99b-f390531ef596,1221748101531,omnis,84017.68,14
23e4121c-fb1e-4df3-ab56-71694bac03ba,7272537920042,sint,96354.49,95
814454e5-d4fd-42b4-9d54-80a211306359,8635962763551,optio,75627.35,165
928a1327-edc1-4074-985e-07124b4a7147,0083724910565,unde,15125.88,169
fe59a27e-470a-4481-afba-b505eaf85320,8318614889280,nobis,40026.6,184
f461c23e-10a4-4850-9f1e-3bd5ac2be225,2032346145167,accusantium,50262.63,30
cdb7e7a4-dac5-46a4-838e-cf7629875a33,7108654878082,iusto,88431.16,122
90e8fc95-8d68-433d-a79c-1e7bee7db724,3350901073953,harum,63374.06,176
44bb2a0e-b575-4140-a251-9acac40eb5c5,6605775382418,eos,4735.63,137
6fd08e48-6994-44f5-89eb-5e1ad8c1539c,6074392279140,perferendis,41512.69,114
c258342d-abe6-405e-9701-bc89840fd304,3037493586367,expedita,35160.16,160
cf978a5f-988a-4aab-87f4-2c98ec4d40d8,3864797006372,excepturi,71925.16,190
a8375eb5-7023-4cd8-8be5-99238bc23fd1,8939636797645,facilis,92582.21,198
fcaf2fd2-eabf-4b84-b289-22677732ffb0,9492120014769,fuga,6969.66,114
7d575aa5-bcc8-4b52-96f1-fcad7a70e385,5136264376188,itaque,92977.8,28
991139f2-2c1b-442e-aba7-7bd3cb7c925e,7381463963976,aperiam,205.98,87
60aaf9ad-a14d-45e8-a56c-a64e46928535,1759971740079,doloribus,8063.88,167
4c921c24-aed9-4ae4-8206-b68f2733e511,6012213946291,repellat,64420.45,55
c12092b7-c5ad-4f87-85b5-fcbef36e460e,6610402794632,cum,38979.41,61
0cd998a4-93d7-415f-bf5f-271c3d409261,1969712297551,explicabo,25559.1,90
854cf42f-e8c7-497f-a39c-aa248f4a01a9,0135834788647,nemo,29281.74,192
545aff8d-aa83-4463-aed4-a74cd728ef1f,2925665129157,accusamus,96625.51,51
b2731607-77ec-44f5-a47c-793005587c06,5833117962856,alias,9332.43,55
1b81af50-d528-46de-8723-12c8682973f8,3825518666176,minima,81118.44,107
ccdbeb6a-9d27-464f-8104-30a32dbf2818,4235282737382,nam,71322.2,72
99712124-9037-4044-be1a-49251f83e892,4833560046432,minus,1155.45,17
61ab0b2a-e700-48f1-982a-a188cbfd141e,4898649859716,nobis,4829.24,163
4a4563a3-accd-45aa-8bc2-1a9900d6e91f,8322352722068,quibusdam,42681.7,69
a41f262d-e6f2-4c9a-a01b-38f7b39f255b,4461333799898,praesentium,47865.94,156
235679da-88c3-45a0-b071-06c62bb8c823,2752795672440,porro,37061.09,151
e0af61b3-b372-4f44-b3a8-9d8f855fc010,6039106195451,natus,83720.04,181
bc101743-e944-4685-b78e-6a00fe6bf5d4,0905496278684,alias,24847.15,90
4423043e-a04e-4043-9c50-051ce9e8342e,2118474935464,ipsum,54205.93,43
56ded49c-a272-4a3f-92b6-c5558106645d,9184821752773,harum,15732.97,188
b0fa9067-0dff-40fb-8b7f-792c74d2e5bd,2234155161806,illo,46470.04,113
2ac002f4-46bd-4384-aae4-0f9b8a492abb,0792481665068,assumenda,5260.95,23
d1323a69-2b81-4a85-be40-6cbe4d3fa280,2034429345723,reiciendis,99645.96,84
944bd724-acc4-4836-a817-ea776a6a279f,8918490650686,itaque,59334.1,155
c715b468-65b8-463b-be1a-326571897dc2,6032240325500,temporibus,6707.8,129
8ecc3152-3fd5-44dd-b66f-43e147b72e60,0295015918154,ab,3985.34,83
1df1094e-f07e-49c6-a221-8cdd5915314e,4282179721030,odio,49447.54,182
865a01d7-624a-40c4-a4b7-1bff17916758,3739369668756,omnis,37697.27,57
a9f98584-3b96-4d19-a865-23b7c93604bf,3606439927153,porro,79780.61,188
4647e548-8a97-44b2-86c0-115d39b39643,7024632017215,excepturi,95175.82,1
0243a4bf-f5bc-4ab0-8ccc-79ef1ab0615f,3447483087246,itaque,88616.35,17
1e462487-fbc8-4a48-a878-326bf467901c,2337654688987,ipsam,18514.26,43
641686ea-de09-4b6a-bf60-b3491592261d,0621394292910,fuga,12993.46,5
bffaa868-008e-4de9-938a-067f2b3cbc7e,5698022790631,dolorum,17516.26,60
6ca3c33a-c04e-4a6b-88bb-dfa9ec9b77b0,0290093297825,nisi,95782.96,148
86227a27-49ae-4a41-b42a-4d5a94dfd3f4,2245670800651,id,47779.49,109
b4bad478-fa43-4484-9f23-1f67bc4af64b,2415821390953,quibusdam,94535.51,128
cc41cb31-f982-4302-b6c5-94d0c239091b,2207906003113,numquam,36904.79,153
fb6630d2-0ba3-45d8-ad51-01f40eefb468,0039348431269,veniam,64626.25,58
954d41b3-4386-4dcc-bc0c-745d585f8ad5,0027919295631,culpa,15947.95,90
9f1ebed8-8389-4583-a73e-5661bc64f85d,8456916233247,sunt,23354.37,179
75e46d4b-68c5-49f9-8c8d-ef5702ab6369,0664836245976,velit,33929.67,112
be4b8743-f64b-4652-acab-b2540a5dbbc4,6096209430834,repellat,43965.46,102
651d50d0-9eed-4d50-95da-026a2f86842a,1682554368622,ea,15682.74,41
7f755644-bce8-4b3d-9beb-8020373ce87b,8866385043948,hic,28001.11,97
9963cff8-9ff4-4c1d-ab89-1d21f5fc64be,9225119126224,aspernatur,1203.95,156
31b9700f-a529-4e21-bd55-1ec22161d73c,3882198090806,animi,70100.49,156
b2d506be-fd6f-47a8-829d-e99f2fc2384b,3775871820794,culpa,2901.47,43
b8fb1e65-ac25-45a3-94fa-3ff54ed4598d,6371746692762,iure,77191.01,131
194a1ff7-81df-4e3e-85c9-a453e0393e9c,6239817257091,ratione,40405.85,152
6f88f227-c7af-4f82-8531-c20ef2a70fdb,2162353593894,non,56522.63,29
181795d3-b829-454f-bde7-34609b8e0e2a,9177010596869,repellendus,53565.68,199
f6e024d3-77a2-4991-a934-417c2e04df06,8919858944607,ea,70042.69,103
98216d89-53ae-46a1-98e8-a50017960d70,5869016826456,deleniti,42934.42,133
3de9c675-90c2-47d9-adbc-89b5f36ccf49,5230730135375,reprehenderit,62289.81,39
ae41dfff-7ff3-460f-8d6c-e0de1d4fdcf0,8667059496288,in,97288.09,21
8a573b99-c652-4f32-860e-7c739bf0ea6d,6687387661075,praesentium,28064.46,28
c0e814cf-f85f-4b77-b3c4-35e705f0a8ff,3539819356321,dolorem,97090.96,50
9e866c95-4b24-4776-b9ae-f7800210e2fd,4147140454082,harum,62928.15,46
